ime,rating,glasovi,cena


Taman Organic,4.5,86,$$ - $$$

Monstera bistro,4.5,646,$$ - $$$

Capriccio Ristopizza,4.5,266,$$ - $$$

Restavracija Strelec,4.5,724,$$$$

Restaurant Compa,4.5,487,$$ - $$$

Atelje,4.5,285,$$$$

Restavracija Cubo,4.5,323,$$$$

Zbornica,4.5,423,$

Landerik,4.5,153,$$ - $$$

Luda,4.5,542,$$ - $$$

EK Bistro,4.5,250,$$ - $$$

Julija Restaurant,4.5,3575,$$ - $$$

Gostilna Dela,4.5,265,$

Restaurant Hisa Pod Gradom,4.5,1003,$$ - $$$

Kralj Zara,4.5,707,$$ - $$$

Odprta Kuhna,4.5,309,$

Pri Skofu,4.5,529,$$ - $$$

Fari's,4.5,272,$

Pop's Place,4.5,2153,$$ - $$$

El Patron Tacos & Store,5,78,$

Valvasor,4.5,1163,$$$$

Cajna hisa - Tea House,4.5,325,$$ - $$$

Klobasarna,4.5,692,$

Robba,4.5,1215,$$ - $$$

Kodila Gourmet,5,75,$

TaBar,4.5,516,$$ - $$$

Azur - tratorija s picami,4.5,242,$$ - $$$

Das ist Valter,4.5,389,$

Le Petit cafe,4.5,872,$$ - $$$

Pizzerija Trta,4.5,303,$$ - $$$

Spajza,4.5,1119,$$$$

Bio restaurant Trnulja,4,10,$$ - $$$

Manna,4.5,651,$$$$

Druga Violina,4.5,1645,$

Marley & Me,4.5,1436,$$ - $$$

Taj Mahal restaurant,4.5,235,$$ - $$$

Sorbara Steak House,4.5,494,$$ - $$$

Pivnica Union,4.5,661,$$ - $$$

Sarajevo '84,4,1143,$

Most,4.5,1083,$$ - $$$

Dezela Okusov,4.5,184,$$ - $$$

Gostilnica 5-6 kg,4.5,445,$$ - $$$

Verace,4,330,$$ - $$$

Gostilna Na gradu,4,520,$$ - $$$

Slovenska Hisa,4.5,331,$$ - $$$

Pizzeria FoculuS,4,808,$$ - $$$

Gostilna As,4.5,796,$$$$

Vino & Ribe,4,241,$

Gostilna Kovac,4.5,81,$$ - $$$

Gostilna Cad,4,314,$$ - $$$

Ala Prsuterija,5,60,$$ - $$$

Italijanska Restavracija Mirje,4.5,95,$$ - $$$

Sushimama,4,288,$$ - $$$

Dvorni Bar,4,255,$$ - $$$

Nobel burek,4.5,157,$

Skuhna,4.5,73,$$ - $$$

Libanonske meze in drugi uzitki,4.5,193,$$ - $$$

Pops Place Pizza,4.5,127,$$ - $$$

Loving Hut Ljubljana Center,4.5,143,$

Fany & Mary,4,480,$

Mala Terasa,5,60,$

Rodizio do Brasil,4.5,169,$$ - $$$

Allegria,4,240,$$ - $$$

Peti 181,4.5,113,$$$$

Moji struklji,4.5,82,$$ - $$$

AS Aperitivo,4,401,$$ - $$$

Chinese Restaurant Zhong Hua,4.5,69,$

Gostilna Pri kolovratu,4,219,$$ - $$$

Rio Momo,4,193,$$ - $$$

Shambala,4,238,$$ - $$$

Sato Bento,4.5,64,$$ - $$$

Gostilna Jakob Franc,4.5,135,$$ - $$$

Vodnikov Hram,4,856,$$ - $$$

