ime,tip

Taman Organic,"""Healthy"""

Taman Organic,"""International"""

Monstera bistro,"""European"""

Monstera bistro,"""Contemporary"""

Capriccio Ristopizza,"""Italian"""

Capriccio Ristopizza,"""Pizza"""

Restavracija Strelec,"""European"""

Restavracija Strelec,"""Slovenian"""

Restaurant Compa,"""Steakhouse"""

Restaurant Compa,"""Barbecue"""

Atelje,"""International"""

Atelje,"""European"""

Restavracija Cubo,"""Seafood"""

Restavracija Cubo,"""European"""

Zbornica,"""American"""

Zbornica,"""Grill"""

Landerik,"""European"""

Landerik,"""Slovenian"""

Luda,"""Contemporary"""

Luda,"""Slovenian"""

EK Bistro,"""Cafe"""

EK Bistro,"""Central European"""

Julija Restaurant,"""European"""

Julija Restaurant,"""Slovenian"""

Gostilna Dela,"""Mediterranean"""

Gostilna Dela,"""European"""

Restaurant Hisa Pod Gradom,"""Mediterranean"""

Restaurant Hisa Pod Gradom,"""Slovenian"""

Kralj Zara,"""American"""

Kralj Zara,"""Steakhouse"""

Odprta Kuhna,"""Japanese"""

Odprta Kuhna,"""Fast Food"""

Pri Skofu,"""Mediterranean"""

Pri Skofu,"""European"""

Fari's,"""Fast Food"""

Fari's,"""Middle Eastern"""

Pop's Place,"""American"""

Pop's Place,"""Barbecue"""

El Patron Tacos & Store,"""Mexican"""

El Patron Tacos & Store,"""Street Food"""

Valvasor,"""Mediterranean"""

Valvasor,"""European"""

Cajna hisa - Tea House,"""Cafe"""

Klobasarna,"""Fast Food"""

Klobasarna,"""European"""

Robba,"""European"""

Robba,"""Eastern European"""

Kodila Gourmet,"""Slovenian"""

Kodila Gourmet,"""Central European"""

TaBar,"""Mediterranean"""

TaBar,"""European"""

Azur - tratorija s picami,"""Italian"""

Azur - tratorija s picami,"""Pizza"""

Das ist Valter,"""Barbecue"""

Das ist Valter,"""European"""

Le Petit cafe,"""Cafe"""

Le Petit cafe,"""European"""

Pizzerija Trta,"""Italian"""

Pizzerija Trta,"""Pizza"""

Spajza,"""Seafood"""

Spajza,"""Mediterranean"""

Bio restaurant Trnulja,"""European"""

Bio restaurant Trnulja,"""Slovenian"""

Manna,"""Mediterranean"""

Manna,"""Slovenian"""

Druga Violina,"""European"""

Druga Violina,"""Slovenian"""

Marley & Me,"""Mediterranean"""

Marley & Me,"""European"""

Taj Mahal restaurant,"""Indian"""

Sorbara Steak House,"""Steakhouse"""

Sorbara Steak House,"""Mediterranean"""

Pivnica Union,"""Steakhouse"""

Pivnica Union,"""Bar"""

Sarajevo '84,"""Barbecue"""

Sarajevo '84,"""European"""

Most,"""Mediterranean"""

Most,"""Eastern European"""

Dezela Okusov,"""Steakhouse"""

Dezela Okusov,"""Barbecue"""

Gostilnica 5-6 kg,"""Pizza"""

Gostilnica 5-6 kg,"""Slovenian"""

Verace,"""Italian"""

Verace,"""Pizza"""

Gostilna Na gradu,"""European"""

Gostilna Na gradu,"""Slovenian"""

Slovenska Hisa,"""Bar"""

Slovenska Hisa,"""Cafe"""

Pizzeria FoculuS,"""Italian"""

Pizzeria FoculuS,"""Pizza"""

Gostilna As,"""Seafood"""

Gostilna As,"""Mediterranean"""

Vino & Ribe,"""Seafood"""

Vino & Ribe,"""Mediterranean"""

Gostilna Kovac,"""European"""

Gostilna Kovac,"""Slovenian"""

Gostilna Cad,"""Barbecue"""

Gostilna Cad,"""European"""

Ala Prsuterija,"""Italian"""

Ala Prsuterija,"""Mediterranean"""

Italijanska Restavracija Mirje,"""Italian"""

Italijanska Restavracija Mirje,"""Mediterranean"""

Sushimama,"""Japanese"""

Sushimama,"""Sushi"""

Dvorni Bar,"""Bar"""

Dvorni Bar,"""European"""

Nobel burek,"""Fast Food"""

Nobel burek,"""Eastern European"""

Skuhna,"""African"""

Skuhna,"""Mediterranean"""

Libanonske meze in drugi uzitki,"""Lebanese"""

Libanonske meze in drugi uzitki,"""Middle Eastern"""

Pops Place Pizza,"""Italian"""

Pops Place Pizza,"""Pizza"""

Loving Hut Ljubljana Center,"""European"""

Fany & Mary,"""American"""

Fany & Mary,"""Bar"""

Mala Terasa,"""Healthy"""

Mala Terasa,"""Central European"""

Rodizio do Brasil,"""Steakhouse"""

Rodizio do Brasil,"""Latin"""

Allegria,"""Italian"""

Allegria,"""Mediterranean"""

Peti 181,"""Seafood"""

Peti 181,"""Mediterranean"""

Moji struklji,"""European"""

Moji struklji,"""Soups"""

AS Aperitivo,"""Italian"""

Chinese Restaurant Zhong Hua,"""Chinese"""

Chinese Restaurant Zhong Hua,"""Asian"""

Gostilna Pri kolovratu,"""Slovenian"""

Gostilna Pri kolovratu,"""International"""

Rio Momo,"""Barbecue"""

Rio Momo,"""European"""

Shambala,"""Thai"""

Shambala,"""Vietnamese"""

Sato Bento,"""Japanese"""

Sato Bento,"""Seafood"""

Gostilna Jakob Franc,"""European"""

Gostilna Jakob Franc,"""Slovenian"""

Vodnikov Hram,"""European"""

Vodnikov Hram,"""Soups"""

Lockal,"""Bar"""

Lockal,"""Cafe"""

Restavracija Osterija Pr'Noni,"""Seafood"""

Restavracija Osterija Pr'Noni,"""Mediterranean"""

Paninoteka Restaurant,"""Italian"""

Paninoteka Restaurant,"""European"""

Gostilnica Kaval,"""Italian"""

Gostilnica Kaval,"""Mediterranean"""

DA BU DA Asian Fusion and Bar,"""Asian"""

DA BU DA Asian Fusion and Bar,"""Thai"""

JB,"""European"""

JB,"""Slovenian"""

Cafe Romeo,"""Mexican"""

Cafe Romeo,"""Bar"""

Slovenska Hisa - Figovec,"""European"""

Slovenska Hisa - Figovec,"""Slovenian"""

OnThai,"""Asian"""

OnThai,"""Thai"""

Mediterraneo,"""Italian"""

Mediterraneo,"""Pizza"""

Pri Zabarju Gostilna,"""Slovenian"""

Pri Zabarju Gostilna,"""European"""

Burek Olimpija,"""Fast Food"""

Burek Olimpija,"""Fusion"""

KOA Bistro and Bar,"""Hawaiian"""

KOA Bistro and Bar,"""Seafood"""

Slon 1552,"""European"""

Slon 1552,"""Slovenian"""

Gujzina,"""European"""

Gujzina,"""Slovenian"""

Gostilna Sokol Ljubljana,"""Slovenian"""

Maru Japonska Restavracija Ljubljana,"""Japanese"""

Maru Japonska Restavracija Ljubljana,"""Seafood"""

Taman Organic,"""Healthy"""

Taman Organic,"""International"""

"Katrca, Hisa piva in kulinarike","""Barbecue"""

"Katrca, Hisa piva in kulinarike","""Grill"""

Vander Restaurant,"""Mediterranean"""

Vander Restaurant,"""European"""

Bio restaurant Trnulja,"""European"""

Bio restaurant Trnulja,"""Slovenian"""

Tokyo Piknik,"""Asian"""

Tokyo Piknik,"""Japanese"""

Gostilna Sestica,"""European"""

Gostilna Sestica,"""Slovenian"""

Restavracija Ronin,"""Seafood"""

Restavracija Ronin,"""Mediterranean"""

Pizzeria Osmica,"""Italian"""

Pizzeria Osmica,"""Pizza"""

Soba 102,"""Slovenian"""

Cantina Restaurantes Mexicana,"""Mexican"""

Cantina Restaurantes Mexicana,"""Latin"""

Kolibri Cocktail Bar,

Pivnica Lajbah,"""American"""

Pivnica Lajbah,"""European"""

Picerija Garaza,"""European"""

Joe Pena's Cantina y Bar,"""Mexican"""

Joe Pena's Cantina y Bar,"""Latin"""

Namaste,"""Indian"""

Stara Pumpa,"""Barbecue"""

Stara Pumpa,"""Slovenian"""

Restavracija Harfa,"""European"""

Restavracija Harfa,"""Soups"""

B-restaurant&bar,"""Mediterranean"""

B-restaurant&bar,"""European"""

Maharaja,"""Indian"""

Maharaja,"""Asian"""

Kucha,"""Slovenian"""

Kucha,"""European"""

Cutty Sark Pub,"""Bar"""

Cutty Sark Pub,"""European"""

Sveti Florijan,"""European"""

Sveti Florijan,"""Mediterranean"""

Altroke,"""Italian"""

Altroke,"""Seafood"""

Aroma Restaurant & Pizzeria,"""Italian"""

Aroma Restaurant & Pizzeria,"""Pizza"""

Asian Bistro OSHA,"""Bar"""

Asian Bistro OSHA,"""Street Food"""

Ajdovo Zrno,"""European"""

Ajdovo Zrno,"""Soups"""

Back Werk,"""Fast Food"""

Back Werk,"""Cafe"""

Mexico Mediterra Place,"""Mexican"""

Mexico Mediterra Place,"""Pizza"""

Restavracija Mandala - vegan restaurant,"""Indian"""

Restavracija Mandala - vegan restaurant,"""Mediterranean"""

Street Food Valentin,"""Seafood"""

Street Food Valentin,"""Mediterranean"""

Bazilika Bistro,"""Cafe"""

Bazilika Bistro,"""European"""

Gostilna Vitez,"""European"""

Gostilna Vitez,"""Slovenian"""

Gostilna Pod Vrbo,"""Slovenian"""

Gostilna Pod Vrbo,"""Eastern European"""

10 v pol,"""Eastern European"""

10 v pol,"""Barbecue"""

Soba 102,"""Slovenian"""

Gostilna Vida,"""European"""

Gostilna Vida,"""Fusion"""

Via Bona,"""European"""

Via Bona,"""Mediterranean"""

Burger Time Ljubljana,"""Fast Food"""

Allegria,"""Italian"""

Allegria,"""Mediterranean"""

Gostilna Pri Stricku,"""Slovenian"""

Gostilna Pri Stricku,"""European"""

Dragon Garden,"""European"""

Restavracija Neboticnik,"""European"""

Restavracija Neboticnik,"""Central European"""

Makalonca,"""Bar"""

Makalonca,"""Cafe"""

Namaste Indian Express,"""Indian"""

Namaste Indian Express,"""Asian"""

Gostilna Janezic,"""Slovenian"""

Gostilna Janezic,"""European"""

Dvor Tacen,"""Cafe"""

Dvor Tacen,"""European"""

Pizzeria Ljubljanski Dvor,"""Italian"""

Pizzeria Ljubljanski Dvor,"""Pizza"""

KUHINJA KRUSIC,"""Slovenian"""

KUHINJA KRUSIC,"""European"""

Zlata Ribica,"""Slovenian"""

Zlata Ribica,"""Eastern European"""

Saraj Restavracija,"""Barbecue"""

Saraj Restavracija,"""European"""

Bar Cez Cesto,"""Bar"""

Bar Cez Cesto,"""Pizza"""

